date,platform,extraction_run,official_dau,model_dau,interval_id
2025-03-13,STEAM,2,239312.8,212631.10294578059,3
2025-03-15,STEAM,2,209581.2,203120.83436230506,3
2025-03-16,STEAM,2,246174.7,199471.39100601358,3
2025-03-18,STEAM,2,246174.7,193436.31432214496,3
2025-03-19,STEAM,2,247697.2,190827.605173924,3
2025-03-22,STEAM,2,246174.7,279741.8701017383,3
2025-03-23,STEAM,2,247411.8,275366.8485367298,3
2025-03-25,STEAM,2,227188.5,262570.5891146872,3
2025-03-26,STEAM,2,229541.3,255855.0073739844,3
2025-03-28,STEAM,2,226214.6,234261.34034239268,3
2025-03-29,STEAM,2,226214.6,228504.88516939434,3
2025-03-31,STEAM,2,249501.3,219301.3605764022,3
2025-04-01,STEAM,2,246174.7,215463.11294401635,3
2025-04-02,STEAM,2,246174.7,211990.22566688253,3
2025-04-04,STEAM,2,248032.5,205890.7996498608,3
2025-04-05,STEAM,2,251201.0,203177.75173821114,3
2025-04-10,STEAM,2,226221.6,191947.59883083653,3
2025-04-11,STEAM,2,274387.6,190054.84583012035,3
2025-04-12,STEAM,2,229541.3,188253.42354033876,3
2025-04-14,STEAM,2,246174.7,184893.1123531866,3
2025-04-15,STEAM,2,247541.5,183320.98780879658,3
2025-04-17,STEAM,2,292748.1,180365.51800930325,3
2025-04-27,STEAM,2,246174.7,168413.0749096481,3
2025-04-28,STEAM,2,287467.4,167415.12547845743,3
2025-05-01,STEAM,2,248168.8,164586.20488635433,3
2025-05-03,STEAM,2,272788.1,162824.85892397774,3
2025-05-04,STEAM,2,253766.2,161978.17357020828,3
2025-05-07,STEAM,2,249562.5,159562.44875710376,3
2025-05-08,STEAM,2,244715.4,158795.77398536162,3
2025-05-10,STEAM,2,270009.9,157315.6359425151,3
2025-05-13,STEAM,2,231427.3,155218.33172292513,3
2025-05-14,STEAM,2,222887.9,154549.56397168327,3
2025-05-16,STEAM,2,249501.3,253011.85003186128,3
2025-05-20,STEAM,2,249501.3,240123.58085964952,3
2025-05-21,STEAM,2,248317.0,234194.75988062448,3
2025-05-30,STEAM,2,248014.9,347135.6051786138,3
2025-05-31,STEAM,2,202927.9,341915.8075503356,3
2025-06-05,STEAM,2,249501.3,288160.6629926352,3
2025-06-06,STEAM,2,247956.4,279011.0733859843,3
2025-06-08,STEAM,2,246174.7,265068.7714040881,3
2025-06-09,STEAM,2,262808.0,259403.8670942566,3
2025-06-10,STEAM,2,264491.4,254340.04633236182,3
2025-06-12,STEAM,2,247689.3,245580.0277321393,3
2025-06-13,STEAM,2,248610.0,241736.91572484616,3
2025-06-15,STEAM,2,259481.4,234877.29279001895,3
2025-06-16,STEAM,2,259481.4,231791.1856267358,3
2025-06-18,STEAM,2,259481.4,226177.4007203889,3
2025-06-19,STEAM,2,306054.8,223610.55230071052,3
2025-06-22,STEAM,2,266134.7,216692.35674957925,3
2025-06-23,STEAM,2,282454.4,214609.03006412997,3
2025-06-25,STEAM,2,306054.8,210722.4382628041,3
2025-06-26,STEAM,2,306054.8,208904.77705771945,3
2025-06-28,STEAM,2,301789.1,205490.4875104558,3
2025-06-29,STEAM,2,272788.1,203883.62391446857,3
2025-07-02,STEAM,2,264298.6,199412.82907511306,4
2025-07-03,STEAM,2,263869.2,198027.16489385886,4
2025-07-05,STEAM,2,263738.2,195394.37592549366,4
2025-07-06,STEAM,2,289421.4,194142.01865654977,4
2025-07-08,STEAM,2,276114.7,191753.8423542605,4
2025-07-12,STEAM,2,276114.7,187389.54074843525,4
2025-07-15,STEAM,2,262808.0,184426.30289912224,4
2025-07-17,STEAM,2,262808.0,333605.332294788,4
2025-07-18,STEAM,2,293089.3,353192.25442890555,4
2025-07-19,STEAM,2,259481.4,355477.5266931462,4
2025-07-21,STEAM,2,259481.4,341686.232536127,4
2025-07-22,STEAM,2,256154.7,331877.2783763007,4
2025-07-25,STEAM,2,288003.5,286651.8305028252,4
2025-07-31,STEAM,2,278755.7,325117.81831032486,4
2025-08-03,STEAM,2,332668.2,323935.92770634394,4
2025-08-06,STEAM,2,324736.8,302642.30505070987,4
2025-08-07,STEAM,2,311062.3,288562.9064485707,4
2025-08-09,STEAM,2,331098.1,275106.10678816744,4
2025-08-10,STEAM,2,329341.5,269860.91576663865,4
2025-08-16,STEAM,2,297573.1,355834.64238128555,4
2025-08-25,STEAM,2,351278.0,283446.1024564891,4
2025-08-26,STEAM,2,312563.5,278792.1686823126,4
2025-08-28,STEAM,2,299401.5,410490.4933976674,4
2025-09-04,STEAM,2,299401.5,361881.67822645436,4
2025-09-09,STEAM,2,317495.8,319321.37166470056,4
2025-09-10,STEAM,2,312708.2,313698.154750191,4
2025-09-12,STEAM,2,312708.2,303874.40181469044,4
2025-09-19,STEAM,2,355954.9,278711.78073544975,4
2025-09-25,STEAM,2,344328.8,495006.5672746176,4
2025-09-26,STEAM,2,354486.8,524225.7532911403,4
2025-09-28,STEAM,2,340933.4,518269.4969586985,4
2025-09-29,STEAM,2,368995.2,504496.8749401417,4
2025-10-01,STEAM,2,368522.6,472967.7982927868,4
2025-10-02,STEAM,2,361408.3,457683.5403225868,4
2025-10-03,STEAM,2,372324.9,443385.48103967635,4
2025-10-12,STEAM,2,402420.3,356861.40079568536,4
2025-10-14,STEAM,2,365122.1,345809.2831656199,4
2025-10-18,STEAM,2,375915.0,327937.52072404936,4
2025-10-19,STEAM,2,378386.2,324117.03728644794,4
2025-10-22,STEAM,2,381323.6,313811.8331713155,4
2025-10-24,STEAM,2,374615.3,307739.66002595774,4
2025-10-25,STEAM,2,323827.0,304904.05919754383,4
2025-11-02,STEAM,2,379241.7,285896.1656600295,4
2025-11-03,STEAM,2,362608.3,283886.1733393285,4
2025-11-05,STEAM,2,329341.5,280059.0910383309,4
2025-11-06,STEAM,2,331964.5,374760.7206093961,4
2025-11-07,STEAM,2,333964.8,386078.6899002412,4
2025-11-12,STEAM,2,320764.5,360608.93475727865,4
2025-11-13,STEAM,2,312708.2,344104.533175618,4
