date,platform,extraction_run,official_dau,model_dau,interval_id,model_dau_scaled
2024-11-28,TOTAL,1,284431.4,181813.86694365132,2,355770.665782846
2024-11-29,TOTAL,1,277778.1,177072.03831536463,2,346491.92617693596
2024-12-01,TOTAL,1,279441.4,161982.3316993375,2,316964.61310947
2024-12-02,TOTAL,1,286094.8,157947.7652496236,2,309069.83359628415
2024-12-04,TOTAL,1,281104.7,151503.91794871556,2,296460.60921210906
2024-12-05,TOTAL,1,266134.7,148820.66999921645,2,291210.0696053055
2024-12-07,TOTAL,1,262808.0,144181.44180066767,2,282132.09699154564
2024-12-08,TOTAL,1,259481.4,142143.60856321242,2,278144.4952764984
2024-12-10,TOTAL,1,261144.7,138496.82170587734,2,271008.51709170826
2024-12-11,TOTAL,1,274451.4,136850.6751059051,2,267787.3619527012
2024-12-13,TOTAL,1,287758.1,175773.75105503233,2,343951.4570105827
2024-12-14,TOTAL,1,304391.5,175164.4256659215,2,342759.1381682056
2024-12-15,TOTAL,1,304391.5,172783.31863955085,2,338099.8234178371
2024-12-17,TOTAL,1,286094.8,166260.63166410773,2,325336.3267332541
2024-12-18,TOTAL,1,271124.7,162879.4639573436,2,318720.10814453807
2024-12-20,TOTAL,1,297738.1,152514.37172348017,2,298437.85010266345
2024-12-21,TOTAL,1,324351.5,149600.67776304705,2,292736.3771753425
2024-12-23,TOTAL,1,301064.8,144838.95598932786,2,283418.7109588609
2024-12-24,TOTAL,1,311044.8,142815.11918997735,2,279458.49726534815
2024-12-26,TOTAL,1,311044.8,180251.76507528304,2,352713.9681223631
2024-12-27,TOTAL,1,319361.5,184222.22623989778,2,360483.30736884486
2024-12-29,TOTAL,1,314371.5,181008.50930032658,2,354194.7539463317
2024-12-30,TOTAL,1,317698.2,177593.3857639783,2,347512.091096232
2025-01-01,TOTAL,1,321024.9,170224.78934944706,3,333093.3314254125
2025-01-02,TOTAL,1,332668.2,162721.80744197068,3,318411.60822436085
2025-01-03,TOTAL,1,327678.2,158871.25253029304,3,310876.8997470062
2025-01-05,TOTAL,1,327678.2,152992.870722511,3,299374.16981426376
2025-01-06,TOTAL,1,322688.2,150583.32782199932,3,294659.2121690746
2025-01-08,TOTAL,1,342648.2,146433.87679724203,3,286539.6282312403
2025-01-09,TOTAL,1,326014.9,209627.99741500488,3,410196.9418546885
2025-01-11,TOTAL,1,319361.5,216533.72136047372,3,423709.9595749124
2025-01-12,TOTAL,1,321024.9,213167.62421089364,3,417123.2308279406
2025-01-13,TOTAL,1,322688.2,208445.95184439057,3,407883.93269475765
2025-01-15,TOTAL,1,322688.2,198047.73515803862,3,387536.8572178125
2025-01-16,TOTAL,1,329341.5,186748.31507302733,3,365426.3203584297
2025-01-18,TOTAL,1,331004.9,176759.27038927577,3,345879.9065594519
2025-01-19,TOTAL,1,345974.9,172971.24392400286,3,338467.5528143393
2025-01-21,TOTAL,1,329341.5,166705.29242155695,3,326206.43227792217
2025-01-22,TOTAL,1,326014.9,164038.36187038347,3,320987.82231303066
2025-01-23,TOTAL,1,350964.9,214558.04132394146,3,419843.9783173398
2025-01-25,TOTAL,1,354291.6,218529.2126479189,3,427614.707193081
2025-01-26,TOTAL,1,369261.7,215059.7310314399,3,420825.67726172466
2025-01-28,TOTAL,1,349301.6,205684.52323971357,3,402480.4103468048
