date,model_dau
2025-01-29,200857.6868588073
2025-01-30,191105.26100588418
2025-01-31,186082.20901559232
2025-02-01,181965.3126190615
2025-02-02,178419.11534028966
2025-02-03,175283.57574572085
2025-02-04,172463.63313565863
2025-02-05,169896.40391812415
2025-02-06,237470.56873054174
2025-02-07,244768.27103673446
2025-02-08,244194.36872152062
2025-02-09,240260.48366014412
2025-02-10,234890.19790124608
2025-02-11,229033.9648384496
2025-02-12,223178.13877808952
2025-02-13,210784.41039925447
2025-02-14,204607.33046273162
2025-02-15,199600.86657749186
2025-02-16,195324.64354085724
2025-02-17,191569.5705107279
2025-02-18,188212.06384135876
2025-02-19,185170.77842933603
2025-02-20,218513.7910324423
2025-02-21,220846.11518430832
2025-02-22,219219.371850669
2025-02-23,215949.21064185648
2025-02-24,212017.39874450618
2025-02-25,207905.25114509463
2025-02-26,203856.03942231945
2025-02-27,196485.62308634253
2025-02-28,241362.4350930606
2025-03-01,244545.4637565693
2025-03-02,242528.32131446004
2025-03-03,238373.52254159725
2025-03-04,233372.6570795069
2025-03-05,228155.84157404167
2025-03-06,223039.33992633206
2025-03-07,213425.76192430832
2025-03-08,229456.17647497958
2025-03-09,228022.70081322166
2025-03-10,224718.017963751
2025-03-11,220764.30067275852
2025-03-12,216658.30426657398
2025-03-13,212631.10294578059
2025-03-14,208789.86880687613
2025-03-15,203120.83436230506
2025-03-16,199471.39100601358
2025-03-17,196292.53289503985
2025-03-18,193436.31432214496
2025-03-19,190827.605173924
2025-03-20,271138.9650574984
2025-03-21,280113.00529850577
2025-03-22,279741.8701017383
2025-03-23,275366.8485367298
2025-03-24,269267.2290965186
2025-03-25,262570.5891146872
2025-03-26,255855.0073739844
2025-03-27,241389.0616761444
2025-03-28,234261.34034239268
2025-03-29,228504.88516939434
2025-03-30,223600.25045882317
2025-03-31,219301.3605764022
2025-04-01,215463.11294401635
2025-04-02,211990.22566688253
2025-04-03,208815.83369422425
2025-04-04,205890.7996498608
2025-04-05,203177.75173821114
2025-04-06,200647.49345220852
2025-04-07,198276.71523542286
2025-04-08,196046.4702277556
2025-04-09,193941.1223501783
2025-04-10,191947.59883083653
2025-04-11,190054.84583012035
2025-04-12,188253.42354033876
2025-04-13,186535.199470739
2025-04-14,184893.1123531866
2025-04-15,183320.98780879658
2025-04-16,181813.39259085138
2025-04-17,180365.51800930325
2025-04-18,178973.08572780387
2025-04-19,177632.2709221242
2025-04-20,176339.6390606138
2025-04-21,175092.09348099987
2025-04-22,173886.8316035215
2025-04-23,172721.30811170937
2025-04-24,171593.20379906002
2025-04-25,170500.3990569034
2025-04-26,169440.95119007037
2025-04-27,168413.0749096481
2025-04-28,167415.12547845743
2025-04-29,166445.58408381263
2025-04-30,165503.0450901772
2025-05-01,164586.20488635433
2025-05-02,163693.85209147225
2025-05-03,162824.85892397774
2025-05-04,161978.17357020828
2025-05-05,161152.813415472
2025-05-06,160347.85902215008
2025-05-07,159562.44875710376
2025-05-08,158795.77398536162
2025-05-09,158047.0747592745
2025-05-10,157315.6359425151
2025-05-11,156600.7837168381
2025-05-12,155901.88242670227
2025-05-13,155218.33172292513
2025-05-14,154549.56397168327
2025-05-15,241742.54060735463
2025-05-16,253011.85003186128
2025-05-17,254217.77518975516
2025-05-18,251052.10071184006
2025-05-19,245950.74127836543
2025-05-20,240123.58085964952
2025-05-21,234194.75988062448
2025-05-22,219962.14403282097
2025-05-23,285583.3510568928
2025-05-24,290253.52590729017
2025-05-25,287500.80794644705
2025-05-26,281742.1024254478
2025-05-27,274827.74905493273
2025-05-28,267653.8754058664
2025-05-29,348776.12857427506
2025-05-30,347135.6051786138
2025-05-31,341915.8075503356
2025-06-01,333599.8867794742
2025-06-02,324160.5599861639
2025-06-03,314583.0380338118
2025-06-04,305355.9172033032
2025-06-05,288160.6629926352
2025-06-06,279011.0733859843
2025-06-07,271508.87951961055
2025-06-08,265068.7714040881
2025-06-09,259403.8670942566
2025-06-10,254340.04633236182
2025-06-11,249760.10691906884
2025-06-12,245580.0277321393
2025-06-13,241736.91572484616
2025-06-14,238182.16930329395
2025-06-15,234877.29279001895
2025-06-16,231791.1856267358
2025-06-17,228898.30878065515
2025-06-18,226177.4007203889
2025-06-19,223610.55230071052
2025-06-20,221182.5241721257
2025-06-21,218880.23282109285
2025-06-22,216692.35674957925
2025-06-23,214609.03006412997
2025-06-24,212621.60083902214
2025-06-25,210722.4382628041
2025-06-26,208904.77705771945
2025-06-27,207162.59074700018
2025-06-28,205490.4875104558
2025-06-29,203883.62391446857
2025-06-30,202337.63292279583
2025-07-01,200848.56341787984
2025-07-02,199412.82907511306
2025-07-03,198027.16489385886
2025-07-04,196688.59004011127
2025-07-05,195394.37592549366
2025-07-06,194142.01865654977
2025-07-07,192929.2151519497
2025-07-08,191753.8423542605
2025-07-09,190613.9390654022
2025-07-10,189507.69001685292
2025-07-11,188433.411851624
2025-07-12,187389.54074843525
2025-07-13,186374.62146202353
2025-07-14,185387.29758914106
2025-07-15,184426.30289912224
2025-07-16,183490.45359215172
2025-07-17,333605.332294788
2025-07-18,353192.25442890555
2025-07-19,355477.5266931462
2025-07-20,350246.2892624042
2025-07-21,341686.232536127
2025-07-22,331877.2783763007
2025-07-23,321892.35511825315
2025-07-24,297630.3435036497
2025-07-25,286651.8305028252
2025-07-26,278073.16663158365
2025-07-27,270955.12894259015
2025-07-28,264856.419955587
2025-07-29,259519.11361124594
2025-07-30,254775.42253143308
2025-07-31,325117.81831032486
2025-08-01,331358.6028312376
2025-08-02,329369.6158155283
2025-08-03,323935.92770634394
2025-08-04,317087.7394709535
2025-08-05,309821.59606909973
2025-08-06,302642.30505070987
2025-08-07,288562.9064485707
2025-08-08,281181.2820390648
2025-08-09,275106.10678816744
2025-08-10,269860.91576663865
2025-08-11,265217.00371340814
2025-08-12,261037.7124217493
2025-08-13,257232.12188410768
2025-08-14,347424.2741867459
2025-08-15,356890.78380259115
2025-08-16,355834.64238128555
2025-08-17,350297.35663254675
2025-08-18,342853.6971552725
2025-08-19,334775.08422079706
2025-08-20,326711.46132047137
2025-08-21,309902.1269863666
2025-08-22,301432.99790074263
2025-08-23,294542.8936423862
2025-08-24,288640.9105664224
2025-08-25,283446.1024564891
2025-08-26,278792.1686823126
2025-08-27,274569.47470403597
2025-08-28,410490.4933976674
2025-08-29,425871.05316480866
2025-08-30,425470.3668702396
2025-08-31,418312.2382511185
2025-09-01,408246.22204938845
2025-09-02,397175.9224845655
2025-09-03,386076.6662148199
2025-09-04,361881.67822645436
2025-09-05,350088.41261222656
